segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
76,0,1,CADC0872,1,180,181,3.4953664309392263,258.724168316271,16.084904983128467,-1.422588336770766,-0.07730366543877937,1,1,1,31,34,3.1433002442956948,8.166129331452273,180,181,1.43735649064595,1.4294152945650331
77,0,1,CADC0872,1,180,181,-6.273053140331491,210.93718662050682,14.523676759708845,-1.379879082766834,0.01790079562677883,11,1,1,31,44,5.328779836742249,15.160421130533635,180,181,1.1718732590028156,1.1653988211077726
78,0,1,CADC0872,1,198,199,-1.0495236432160804,533.9947695131566,23.108326843654357,-1.3874609017024166,-0.10418896611294731,1,1,1,41,55,3.9133367299716206,9.945435765051949,202,199,2.696943280369478,2.683390801573651
79,0,1,CADC0872,1,182,183,1.7816113224043713,403.4177597538901,20.085262252554486,-0.8338558517755943,-0.4487887167373274,1,1,1,26,37,3.6082947542946746,9.701650285892871,182,183,2.2165810975488465,2.2044686325349185
80,1,1,CADC0872,1,177,178,0.6674827876404494,513.7744458321065,22.66659316774593,0.46347005317241585,-0.8369032610276441,2,1,1,2,2,69.62235263410452,202.05178433146438,177,178,2.9026804849271555,2.8863732911916093
81,1,0,CADC0872,1,192,182,2.7613645109890093,838.7918034430808,28.961902621255405,-1.4544127293462155,-0.1321786336700886,1,1,1,30,43,3.2987976919972284,6.51957872060747,304,182,4.368707309599379,4.60874617276418
82,1,1,CADC0872,1,165,166,-7.583311739759038,430.68742204816516,20.753009951526675,-1.44630117085463,0.020199035988236563,2,1,1,9,26,4.210050502464987,9.279822016730595,165,166,2.61022680029191,2.594502542458826
83,0,1,CADC0872,1,184,185,0.06311813999999981,782.1093261316576,27.96621758714713,-1.4898144084296103,-0.016411185042013804,1,1,1,47,58,1.477979682258526,1.4723699328012558,184,185,4.250594163759009,4.227617979090041
84,0,1,CADC0872,1,177,178,2.7145980494382016,742.9013812823033,27.25621729591807,-1.4306010913298026,-0.06102397542016259,1,1,1,43,56,1.4274217439628079,1.410892092293057,197,178,4.197182945097759,4.173603265630917
85,0,1,CADC0872,1,173,174,7.936907586206897,596.5982205763821,24.425360193380612,-1.4700929404093157,-0.032584429058581034,1,1,1,45,56,1.0256166462561636,0.7324357024993013,241,174,3.448544627609145,3.4287254056113916
86,0,0,CADC0872,1,176,177,3.2842001412429376,525.711357488014,22.928396313044093,-1.4530862609027557,-0.04251186694047588,1,1,1,51,64,1.0281426797197442,1.063429654405962,244,177,2.9869963493637157,2.97012066377409
87,0,0,CADC0872,1,177,178,0.22087656179775278,514.1055765632126,22.67389636924392,-1.495778794839622,0.01520938876206556,1,1,1,54,62,0.9687954173582151,1.0171186626571638,247,178,2.90455128001815,2.8882335761978237
88,0,1,CADC0872,1,161,162,-3.433459209876543,217.41008990639625,14.744832651013583,-1.3995810314278643,-0.0951258002999917,1,1,1,41,51,0.619437034854197,0.8185023715281876,221,162,1.3503732292322748,1.3420375920147918
89,0,1,CADC0872,1,180,181,3.0945816270718236,277.8229699351285,16.668022376248736,-1.5086654722859205,-0.013380378368109713,1,1,1,58,63,0.7235222004563907,1.1707568306613518,240,181,1.5434609440840474,1.5349335355531963
90,1,1,CADC0872,1,177,179,4.102328536312848,242.95367384825113,15.586971285283461,-1.4390862605150292,-0.11612296776401938,1,1,1,32,34,0.878514743172998,1.5524453321279177,241,179,1.3726196262613057,1.357283094124308
91,0,0,CADC0872,1,177,178,0.43415488202247166,258.6415198167186,16.082335645568357,-1.3704141178834812,-0.09826466302394218,1,1,1,51,57,0.5635761055855879,0.6998270079582645,243,178,1.4612515243882407,1.4530422461613404
92,0,1,CADC0872,1,171,172,-3.592388377906977,279.82358937546593,16.727928424508097,-1.4711959279678872,0.040750745785960704,1,1,1,48,56,0.6327032710277548,0.7471556964289923,239,172,1.6363952595056488,1.6268813335782903
93,0,1,CADC0872,1,184,185,1.7363352054054058,490.6889083525272,22.151499009153472,-1.4573953880218091,-0.04686660310161896,1,1,1,52,64,0.8772932490443873,0.9471598148829389,254,185,2.6667875453941696,2.652372477581228
94,0,0,CADC0872,1,175,176,6.039060977272727,507.51657504891625,22.528128529660787,-1.3201792493597662,-0.1472410003128665,1,1,1,52,59,0.9041118105460672,0.8668689179994368,243,176,2.9000947145652356,2.8836169036870243
95,1,1,CADC0872,1,177,179,4.1472433463687155,628.0265481137714,25.060457859220595,-0.8749599126935248,-0.20645082895486064,1,1,1,1,2,10.047557932407452,19.37868690898086,229,179,3.5481725882133976,3.5085282017529127
96,0,1,CADC0872,1,184,185,1.4377709783783788,942.6989031052216,30.703402142193,-1.4942722552801417,-0.022970885164095324,1,1,1,46,63,1.317367904393224,0.6087375148739781,258,185,5.123363603832726,5.095669746514711
97,1,1,CADC0872,1,170,171,-7.196355608187135,680.4697576918915,26.085815258333245,-1.3265286513853707,0.10168248827783455,2,1,1,1,2,54.7094858949412,160.92712328626834,236,171,4.002763280540538,3.979355308139716
98,0,1,CADC0872,1,180,182,-0.5298504725274731,790.5372265744047,28.11649385279759,-1.4850829787355693,-0.03242480948942077,1,1,1,51,64,1.1998542810252675,0.7806928749304096,252,182,4.391873480968915,4.343611135024202
99,1,1,CADC0872,1,177,178,-6.080523601123597,298.4678042177448,17.276220773587745,-0.36429658007764765,0.005443566561241729,1,1,1,1,1,6.7607476399542445,13.071690773946322,221,178,1.6862587808912135,1.6767854169536225
100,0,1,CADC0872,1,176,178,5.5312996573033715,420.1540447179883,20.497659493658986,-1.44367342631098,-0.032504446613381706,1,1,1,52,57,0.7566201279780084,0.6878774364224376,230,178,2.387238890443115,2.360415981561732
101,0,1,CADC0872,1,175,176,1.494401017045455,271.8116871940872,16.4867124434827,-1.4919572667748207,-0.015243301351062733,1,1,1,50,57,0.7106335581868916,1.1492262483224596,235,176,1.5532096411090697,1.544384586330041
102,0,1,CADC0872,1,169,170,0.01544415882352928,236.54979389362956,15.380175353149571,-1.5192484455591122,-0.022740440911116884,1,1,1,50,56,0.6547871452329412,0.9636567911954912,211,170,1.3997029224475122,1.3914693758448797
103,0,0,CADC0872,1,163,164,-3.377207070121951,123.33576515527496,11.105663652176531,-1.4473567245843497,-0.014694028258583515,1,1,1,45,55,0.4307514363012864,0.7341146198410866,189,164,0.7566611359219323,0.7520473485077741
104,1,0,CADC0872,1,174,175,-0.16305293142857125,155.86363234359538,12.48453572799547,-1.3450473096809608,0.056870202027428735,2,2,2,2,5,4.691100890963178,9.22113355077834,206,175,0.8957680019746861,0.8906493276776879
105,0,1,CADC0872,1,169,170,2.4936633905882353,147.84626466487362,12.159204935556996,-1.2895263564033579,-0.10736314821395408,1,1,1,54,58,0.4977309343060323,0.9294165552150837,191,170,0.8748299684312049,0.8696839097933742
106,1,1,CADC0872,1,177,178,4.434545005617978,191.2054151009082,13.82770462155264,0.36601572474535526,0.06503944414454076,2,2,1,1,2,43.30064134269119,129.315852497546,197,178,1.0802565824910069,1.074187725286001
107,0,1,CADC0872,1,177,178,-0.5142483426966292,227.6818654552747,15.089130705752227,-1.4939471522519356,-0.013183226324186361,1,1,1,56,60,0.5679105230513333,0.8188402323544918,203,178,1.2863382229111566,1.2791116036813186
108,0,0,CADC0872,1,180,181,-1.539892966850829,224.31928477854885,14.97729230463734,-1.4614961163656401,-0.0003316723968343944,5,1,1,26,32,1.89440286060444,5.059638128023588,208,181,1.2462182487697158,1.2393330650748555
109,0,1,CADC0872,1,177,178,2.7725879550561805,240.1966662802726,15.498279461936173,-1.3626892964164463,-0.022253560774598505,8,1,1,30,44,6.121295225264182,17.72028732006097,207,178,1.3570433123179244,1.3494194734846776
110,1,0,CADC0872,1,171,172,4.567061761627908,333.70297398047484,18.267538804679596,-0.9776479575418944,-0.38304103375972426,2,2,1,16,26,16.371326049538254,39.31132785995845,233,172,1.9514793800027768,1.9401335696539235
111,0,1,CADC0872,1,182,184,-0.7178251793478264,554.2761809864479,23.54307076373955,-1.4902804586425398,0.032505570698156655,1,1,1,26,42,6.8354579461252065,18.515190714483598,254,184,3.04547352190356,3.012370548839391
112,0,0,CADC0872,1,158,160,-7.13331532375,415.86926727459706,20.392872952936205,-1.428764844401613,-0.021996962952301836,1,1,1,31,40,6.5070226676178695,17.87873057136988,220,160,2.6320839700923866,2.5991829204662316
113,0,1,CADC0872,1,182,183,-2.948054961748634,695.4670548444273,26.371709365235073,-1.4970650878269744,0.031121564509593157,1,1,1,30,36,2.7686765948400027,5.819877153271212,254,183,3.8212475540902595,3.800366419914903
114,1,0,CADC0872,1,173,163,-1.4131884233128835,522.4997430351776,22.858253280493187,-1.0647934268799955,0.0879224909305077,3,2,1,2,5,15.544535328248685,30.14140872369753,333,163,3.0202297285270383,3.205519895921335
115,0,0,CADC0872,1,180,181,8.081112889502764,724.7176029488674,26.920579543332035,-1.4511429404639438,-0.0512675626282202,1,1,1,47,64,1.1404303703911474,0.7820272319617404,232,181,4.026208905271485,4.003964657176063
116,0,1,CADC0872,1,180,181,6.070373187845304,785.5700485497807,28.02802255867832,-1.5064694057741896,-0.031118329168805227,1,1,1,43,56,1.1905763739299686,0.7105954690152836,252,181,4.3642780474987815,4.3401660140871865
117,0,1,CADC0872,1,168,169,-1.46027224852071,639.5613600594786,25.289550412363575,-1.477610249264654,-0.034505987362668133,1,1,1,48,51,1.198986310968835,1.0070893406039978,232,169,3.8069128574968962,3.7843867459140745
118,0,1,CADC0872,1,177,178,-3.2549026573033712,618.3474954419585,24.866593965438017,-1.4847687582975975,-0.018956208191568392,1,1,1,54,60,1.0289784959613226,0.773526528048084,239,178,3.4934886748133245,3.473862333943587
119,1,0,CADC0872,1,177,179,0.007275469273743221,455.48707218919924,21.342143102069183,-1.3084587667114065,-0.11843588414426719,2,1,1,2,1,27.533875121484993,80.3656053610142,241,179,2.5733732892045156,2.5446205150234595
120,0,0,CADC0872,1,175,176,5.233998823863636,322.0111709131686,17.944669707552954,-1.4329275322134478,-0.060108929816186436,1,1,1,51,58,0.6971624302669487,0.8504958163814134,243,176,1.8400638337895348,1.8296089256430035
121,1,1,CADC0872,1,182,184,2.245421228260869,234.96903947457284,15.328699862498869,-1.0406986180660254,0.2775466582003151,3,2,1,3,6,6.513045969471967,12.82697689160012,228,184,1.291038678431719,1.2770056493183306
122,0,1,CADC0872,1,175,176,-0.9255720852272731,258.1884844387609,16.06824459730312,-1.4676663734827204,-0.008557909149764101,1,1,1,54,59,0.6012835730111703,0.8415360837910731,235,176,1.475362768221491,1.4669800252202323
123,0,1,CADC0872,1,183,185,-1.7774205027027024,280.1069221222768,16.736395135221827,-1.4983242979589444,0.013380408315806641,1,1,1,56,60,0.5546739853157391,0.6337277621886058,245,185,1.5306389187009661,1.5140914709312259
124,0,1,CADC0872,1,175,177,3.8626451525423726,346.284442996753,18.608719542105874,-1.4776581213307705,-0.0401971481031014,1,1,1,53,63,0.6930182033110661,0.79443740620673,241,177,1.9787682456957314,1.956409282467531
