mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6
-18.7854,34.7738,161.0208,1.35,1.71,0.18,0.36,0.03,0.93
-92.9747,53.579,114.1756,0.21,0.71,0.58,0,0.28,2.21
-26.9581,62.4262,171.7021,2.26,0.74,0.19,0.31,0.44,0.34
-75.9548,25.5299,112.1157,0.26,0.98,2.03,0.01,0.3,1.04
-48.2231,81.9455,175.3643,1.71,0.04,0.26,1.38,0.97,0.35
-50.7225,12.398,119.6689,0.31,1,2.29,0.09,0.61,0
-26.2043,17.3571,133.1731,0.27,0.62,2.34,0.26,0.98,0.01
-16.286,36.202,151.0262,0.14,0.62,2.51,0.4,0.28,0.12
-98.3307,72.0272,132.9442,1.38,0.19,0.35,1.38,1.48,0.01
-21.9989,57.8241,165.8274,0.03,1.64,1.77,0.36,0.12,0.5
-83.7308,43.6606,114.9386,1.97,0.12,0.12,1.35,0.45,0.71
-40.09,77.3831,174.1436,0,2.19,0.44,0.17,0.06,0.69
-56.3958,20.2136,109.369,1.66,0.23,0.03,0.26,0.26,1.8
-61.7517,88.0156,169.9474,1.45,1.5,0.35,0.08,0.04,1.26
-33.7026,14.1833,124.3229,1.48,1.38,0,0.22,0.14,1.24
-81.6281,91.2688,156.2905,1.44,0.47,0.26,0.03,0.05,1.92
-94.4823,87.6982,141.413,0.27,0.23,0.23,0.8,0.06,2.25
0.0198,0.0198,0.0381,0.01,0.21,1.57,0.98,0.09,1.58
-89.8405,64.2908,116.6934,0,0.14,1.92,1.45,0.13,0.56
-35.845,64.6082,185.2827,0.03,0,1.16,0.91,2.08,0.09
-41.1612,74.5663,182.1546,0,0,1.36,0.32,2.12,0.06
0.0198,0.0198,0.0381,0,0.26,0.38,0,0.03,2.25
0.0198,0.0198,0.0381,0.48,0.16,0.13,0.25,0.03,2.26
0.0198,0.0198,0.0381,0.09,0.19,0.22,0.89,0.03,2.16
0.0198,0.0198,0.0381,0.04,0.18,0.34,1.29,0.03,1.86
0.0198,0.0198,0.0381,0.03,0.16,0.82,2.1,0.01,0.8
0.0198,0.0198,0.0381,0.19,0.13,1.8,1.2,1.38,0.01
0.0198,0.0198,0.0381,0.03,0.06,1.27,1.23,1.8,0.26
0.0198,0.0198,0.0381,0.05,0.04,1.73,0.49,1.82,0.27
0.0198,0.0198,0.0381,0.05,0.92,1.88,0.28,1.48,0.27
0.0198,0.0198,0.0381,0.09,1.26,2.1,0.34,0.38,0.32
0.0198,0.0198,0.0381,0.17,1.45,1.79,0.34,0.01,0.7
0.0198,0.0198,0.0381,0.21,1.86,1.33,0.3,0,0.63
0.0198,0.0198,0.0381,0.25,1.29,0.85,0.05,1.88,0.32
0.0198,0.0198,0.0381,0.19,0.53,0.56,0,2.33,0.27
0.0198,0.0198,0.0381,0.31,0.28,0.14,0.41,2.36,0.22
0.0198,0.0198,0.0381,0.7,0.26,0.16,0.4,2.26,0.22
0.0198,0.0198,0.0381,1,0.26,0.17,0.79,2.07,0.18
0.0198,0.0198,0.0381,1.1,0.23,0.16,0.89,1.98,0.16
-19.1424,26.2043,137.6745,1.14,1.13,0.05,0.23,0.09,1.68
-21.9593,17.7142,149.7292,1.05,1.85,0.03,0.18,0.05,0.93
-46.7948,-4.2649,160.1816,0.25,2.1,0.52,0.06,0.88,0.09
-56.7926,-5.6931,156.0616,0.22,1.93,0.91,0.04,1.11,0.08
-66.0365,-6.0899,148.661,0.19,1.79,1.2,0.03,1.07,0.05
-69.9245,-1.4084,141.7182,0.16,1.72,1.54,0.01,0.54,0.05
-73.0983,-0.3769,133.9361,0.13,1.77,1.55,0.01,0.25,0.04
-75.2407,2.4796,129.1295,0.13,1.86,1.38,0.01,0.08,0.39
-75.6374,2.797,126.0014,0.13,1.99,0.76,0.01,0.08,0.93
-76.3119,2.4796,126.0777,0.14,1.67,0.34,0.01,0.05,1.49
-72.3842,97.3388,173.4569,0,0.01,0.13,2.19,0.78,0.05
-85.5955,-0.734,138.7427,0.96,0.03,0,1.16,0.03,1.84
-64.2908,96.585,165.3696,0.61,0,0.08,2.21,0,0.52
-53.6187,94.8394,155.5276,0.97,0.01,0.06,1.16,0,1.8
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.04,0.21,0.94,1.4,1.84,0.4
0.0198,0.0198,0.0381,1.01,0.12,0.06,0.45,0.49,2.15
-85.3574,52.5872,173.228,0.71,0.18,0.35,0.45,0.56,2.14
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.05,0,0,0.01,0.04,0
0.0198,0.0198,0.0381,0.49,0.1,0,0,0,1.26
0.0198,0.0198,0.0381,1.23,0,0,0.19,1.79,0
0.0198,0.0198,0.0381,0.36,0.75,0,0,0,1.97
0.0198,0.0198,0.0381,0.72,0,0,0.31,2.1,0
0.0198,0.0198,0.0381,0,1.45,0.39,0,0,1.38
0.0198,0.0198,0.0381,0.36,0,0,1.11,1.85,0
0.0198,0.0198,0.0381,0,1.51,1.13,0,0,0.92
0.0198,0.0198,0.0381,0.27,0,0,1.55,1.49,0
0.0198,0.0198,0.0381,0,1.22,1.75,0,0,0.43
0.0198,0.0198,0.0381,0.23,0,0,1.93,0.98,0
0.0198,0.0198,0.0381,0,0.84,2.1,0,0.32,0
0.0198,0.0198,0.0381,0,0,0.16,2.21,0.22,0
0.0198,0.0198,0.0381,0,0.08,2.14,0,0.85,0
0.0198,0.0198,0.0381,0,0,0.72,2.11,0,0.14
0.0198,0.0198,0.0381,0,0,1.7,0.72,1.33,0
0.0198,0.0198,0.0381,0,0,1.51,1.63,0,0.06
0.0198,0.0198,0.0381,0,0,0.82,1.46,1.44,0
0.0198,0.0198,0.0381,0,0,2.01,1.02,0.47,0
0.0198,0.0198,0.0381,0.22,0,0,1.98,0.97,0
0.0198,0.0198,0.0381,0,0,2.08,0.34,1.02,0
0.0198,0.0198,0.0381,0,0.94,1.32,0,1.58,0
0.0198,0.0198,0.0381,1.38,0,0,1.36,0,0.91
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.05,2.14,0,0,0,0.14
0.0198,0.0198,0.0381,0.05,0.44,0.66,0,0,2.08
0.0198,0.0198,0.0381,1.54,0.63,0,0.04,1.49,0.03
0.0198,0.0198,0.0381,0.1,2.17,0.03,0.01,0,0.25
-83.1357,44.3748,111.8105,0,0,0,0,0,0
-23.4272,62.8626,176.3561,0,0,0,0,0,0
-20.9674,64.6082,172.6177,0,0,0,0,0,0
-20.2136,64.2115,168.1926,0,0,0,0,0,0
-17.0001,63.18,165.5222,0,0,0,0,0,0
-106.5034,61.0773,132.5628,0,0,0,0,0,0
-18.7854,63.8544,163.0045,0,0,0,0,0,0
-110.0343,56.3958,139.2004,0,0,0,0,0,0
-111.0262,54.9676,139.7345,0,0,0,0,0,0
-110.6691,53.9361,143.8544,0,0,0,0,0,0
-112.0577,51.0796,148.5847,0,0,0,0,0,0
-28.0293,76.9467,152.018,0,0,0,0,0,0
-112.3751,46.4378,152.9335,0,0,0,0,0,0
-31.1635,80.4776,150.3395,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-33.6629,84.0085,152.9335,0,0,0,0,0,0
-108.0903,32.5917,153.1624,0,0,0,0,0,0
-56.3561,86.7857,174.2962,0,0,0,0,0,0
-63.418,85.7145,177.9583,0,0,0,0,0,0
-84.683,22.6337,123.8651,0,0,0,0,0,0
-70.837,82.501,179.4079,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-85.6748,77.5418,179.7131,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-20.531,63.1006,165.2934,0,0,0,0,0,0
-99.6002,80.0809,137.9034,0,0,0,0,0,0
-84.0085,21.5625,120.8896,0,0,0,0,0,0
-65.1637,20.8881,114.786,0,0,0,0,0,0
-33.5836,19.1028,183.5279,0,0,0,0,0,0
-28.3467,59.1333,182.1546,0,0,0,0,0,0
-59.0936,87.7775,176.9665,0,0,0,0,0,0
-20.531,43.8987,133.0205,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-109.3599,48.8579,162.4704,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-96.9421,17.6745,143.6255,0,0,0,0,0,0
-97.6165,71.7891,174.5251,0,0,0,0,0,0
-71.7891,9.5415,127.9088,0,0,0,0,0,0
-101.5442,38.5428,174.9828,0,0,0,0,0,0
-86.6667,10.93,170.2525,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-29.6956,18.349,171.8547,0,0,0,0,0,0
-83.7308,14.461,173.1518,0,0,0,0,0,0
-33.5439,14.0642,145.8381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.39,0.71,0.1,0.19,0.03,2.12
0.0198,0.0198,0.0381,1.45,0.12,0,1.8,0.1,0.28
0.0198,0.0198,0.0381,1,0.1,0,1.23,0.1,1.64
0.0198,0.0198,0.0381,0.53,0.27,0,0.06,0.1,2.2
0.0198,0.0198,0.0381,1.85,1.38,0.09,0.43,0.22,0.31
0.0198,0.0198,0.0381,0.53,1.54,0.01,0.34,1.64,0.21
0.0198,0.0198,0.0381,0.56,0.49,1.36,1.51,0.08,1.16
0.0198,0.0198,0.0381,0.27,0.6,1.86,1.5,0.3,0.47
0.0198,0.0198,0.0381,1.31,1.06,0.09,0.43,1.7,0.57
0.0198,0.0198,0.0381,0.04,0.49,0.49,1.72,1.49,0.35
0.0198,0.0198,0.0381,0.57,0.38,0.71,0.3,2.25,0.41
0.0198,0.0198,0.0381,0.28,1.19,0.31,0.04,0.14,1.93
0.0198,0.0198,0.0381,0.35,1.41,0.12,0.01,0.23,1.77
0.0198,0.0198,0.0381,0.06,0.17,0.21,2.25,0,0.49
0.0198,0.0198,0.0381,0.76,0.21,0.4,1.19,0.09,1.88
0.0198,0.0198,0.0381,0.16,0.17,1.15,1.88,0.76,0.4
0.0198,0.0198,0.0381,0.92,0.19,1.73,0.97,0.3,1.45
0.0198,0.0198,0.0381,0.7,0.45,0.63,0.32,2.21,0.62
0.0198,0.0198,0.0381,0.4,0.41,0.57,1.23,1.97,0.65
-47.4693,5.2567,147.2877,1.57,0.38,0.75,1.5,0.67,0.41
-91.5068,70.7179,134.3938,0.58,0.94,1.85,0.39,1.15,0.31
0.0198,0.0198,0.0381,0.27,0.85,0.54,0.28,2.14,0.5
-33.4249,43.2639,135.6909,0.82,0.34,0.22,1.98,0.83,0.18
-49.6513,48.6198,124.0177,0.27,0.17,0.18,0.57,2.26,0.31
-63.418,36.2814,124.9332,0.38,0.65,0.21,0.23,2.17,0.26
-85.7145,82.5803,161.6312,0.45,1.18,0.32,0.39,0.18,1.89
0.0198,0.0198,0.0381,1.54,1.62,0.09,0.58,0.14,0.79
0.0198,0.0198,0.0381,0.65,0.19,1.24,1.62,0.16,1.09
0.0198,0.0198,0.0381,0.56,0.7,0.67,0.4,0.26,2.03
0.0198,0.0198,0.0381,1.18,1.48,0.08,0.57,0.28,1.28
0.0198,0.0198,0.0381,0.06,0.91,1.13,0.32,2.02,0.48
0.0198,0.0198,0.0381,0.05,1.51,0.38,0.21,1.62,0.49
0.0198,0.0198,0.0381,0.53,0.26,0.09,1.88,1.23,0.4
0.0198,0.0198,0.0381,0.12,1.01,1.09,0.25,1.85,0.38
0.0198,0.0198,0.0381,2.04,0.26,0.3,0.84,0.43,0.17
0.0198,0.0198,0.0381,2.07,0.13,0.3,0.08,0.1,1.06
-26.7201,45.7633,148.5847,0.28,0.27,0.92,1.77,0.1,0.98
0.0198,0.0198,0.0381,1.11,0.35,0.12,1.84,0.17,0.82
-36.202,21.8402,137.1405,2.08,0.34,0.3,0.54,0.72,0.13
-64.4099,82.3423,155.6039,0.34,0.06,1.48,0.76,0.25,1.6
-53.4997,22.118,127.985,1.26,1,0.49,0.14,1.62,0.18
-46.7948,74.963,162.6993,0.27,0.18,0.76,1.77,0.45,1.09
0.0198,0.0198,0.0381,0.48,0.21,1.22,0.71,1.94,0.27
0.0198,0.0198,0.0381,1.11,1.49,0.53,0.3,1.09,0.3
-77.5021,58.8159,125.391,0.25,1.41,1.44,0.52,1.14,0.38
-41.5183,13.7072,154.612,2.21,0.19,0.67,0.27,0.53,0.09
0.0198,0.0198,0.0381,0.62,0.28,1.93,1.35,0.34,0.13
0.0198,0.0198,0.0381,0.34,0.6,0.91,2.11,0.6,0.12
0.0198,0.0198,0.0381,0.43,1.94,0.09,0.05,0.8,0.18
0.0198,0.0198,0.0381,0.17,0,0.13,1.18,0,1.59
0.0198,0.0198,0.0381,1.58,0.31,0,0,0,1.28
0.0198,0.0198,0.0381,0.1,1.7,0.01,0,1.1,0
0.0198,0.0198,0.0381,0,0.45,1.44,0,1.54,0
0.0198,0.0198,0.0381,1.92,0,0,0.88,0.01,0.16
0.0198,0.0198,0.0381,1.85,0.16,0,0.01,0,1.1
0.0198,0.0198,0.0381,1.46,0.31,0,0.04,0,1.48
0.0198,0.0198,0.0381,0.03,1.28,0.53,0,0,1.45
0.0198,0.0198,0.0381,0,0.14,1.93,0.14,1.16,0.01
0.0198,0.0198,0.0381,0.01,0,0.28,0.94,1.99,0
0.0198,0.0198,0.0381,1.09,0,0,1.67,0.71,0.04
0.0198,0.0198,0.0381,0.7,1.9,0.08,0,0.01,0.49
0.0198,0.0198,0.0381,0.03,1.6,0.62,0.03,0,1.13
0.0198,0.0198,0.0381,0.06,1,1.05,0.01,0,1.54
0.0198,0.0198,0.0381,0.03,0.04,1.38,1.24,0,0.98
0.0198,0.0198,0.0381,0.23,0,0.01,1.26,1.76,0.04
0.0198,0.0198,0.0381,0.45,0.26,0,0.05,2.16,0.03
0.0198,0.0198,0.0381,1.53,1.09,0.03,0,0.85,0.1
0.0198,0.0198,0.0381,0,1.76,0.52,0.04,0.03,0.98
0.0198,0.0198,0.0381,0.03,0.45,2.16,0.17,0.04,0.72
0.0198,0.0198,0.0381,0.06,0.05,1.85,0.97,0,0.78
0.0198,0.0198,0.0381,1.71,0.04,0.08,1.19,0,0.63
0.0198,0.0198,0.0381,1.16,0.61,0.01,0.01,1.84,0.1
0.0198,0.0198,0.0381,0.05,0.58,0.36,0,2.16,0.08
0.0198,0.0198,0.0381,0.01,1.41,1.6,0.09,0.57,0.18
0.0198,0.0198,0.0381,0.13,0,1.7,1.01,0.08,1.09
0.0198,0.0198,0.0381,0.26,0.08,0.01,2.07,0.06,0.58
0.0198,0.0198,0.0381,1.18,0.09,0.09,1.81,0,0.39
-103.1312,36.1227,147.4403,2.11,0,0.13,0.39,0.03,0.69
0.0198,0.0198,0.0381,0.92,1.85,0.05,0.13,0,0.4
0.0198,0.0198,0.0381,0,1.1,0.52,0.04,1.88,0.14
-71.9081,10.1762,140.4974,0,0.43,0.69,0.18,2.15,0.1
0.0198,0.0198,0.0381,0.18,0.04,1.4,1.64,0.52,0.18
0.0198,0.0198,0.0381,1.22,0.19,0.01,1.48,0.08,1.1
0.0198,0.0198,0.0381,0.1,0.6,2.26,0.08,0.43,0.3
0.0198,0.0198,0.0381,0.06,0.56,1.18,0.3,1.84,0.12
0.0198,0.0198,0.0381,0.23,0.01,0.8,0.52,2.07,0.1
0.0198,0.0198,0.0381,1.55,0.18,0.05,1.35,0.61,0.25
0.0198,0.0198,0.0381,1.41,0.88,0.31,0.04,0.08,1.42
0.0198,0.0198,0.0381,0.19,1.89,0.21,0.22,0.03,0.82
0.0198,0.0198,0.0381,0.18,0.88,2.11,0.05,0.35,0.23
0.0198,0.0198,0.0381,0.08,0.22,1.71,1.41,0.28,0.18
0.0198,0.0198,0.0381,0.12,0.05,0.49,1.57,1.45,0.26
0.0198,0.0198,0.0381,0.27,0.09,0.82,1.05,1.76,0.12
0.0198,0.0198,0.0381,0.67,0.21,0.04,0.8,1.98,0.16
-91.5465,9.9382,131.4946,0.36,0.23,0.65,0.54,0.16,2.01
-101.4649,55.7214,119.5926,0.12,0.35,0.3,0.13,0.22,2.16
-29.0608,44.0177,119.6689,0.09,1.36,1.66,0.22,0.36,0.56
-43.621,2.1225,130.5791,0.26,0.05,2.29,0.96,0.39,0.01
-41.5183,84.802,143.0915,2.06,0,0.27,0.85,0.41,0.08
0.0198,0.0198,0.0381,1.07,0.32,0.08,0.38,0.18,1.95
0.0198,0.0198,0.0381,0.92,0.44,0.27,0,0.14,2.03
-46.4775,33.3455,108.3009,0.12,0.44,2.3,0.13,0.36,0.74
-84.8814,6.3676,138.819,0.23,0.18,1.32,1.23,1.42,0.03
-88.7694,58.5779,117.6089,0.67,0.13,0.18,2.15,0.44,0.08
-21.9989,45.803,127.5273,2.03,0.61,0.1,0.32,0.14,1.01
-43.2639,11.7235,119.7452,0.91,1.7,0,0.17,0.18,1.02
-53.9361,35.845,104.6387,0.08,0.1,2.26,0.8,0.34,0.62
-111.5023,40.4868,142.3285,0.08,0.27,1,1.27,1.64,0.04
-37.2732,15.6115,116.083,1.45,0.58,0.01,0.22,0.18,1.64
-78.4939,1.3687,125.391,0.31,1.14,0.47,0.04,0.12,1.84
-52.9442,27.3548,108.4535,0.08,0.05,2.02,1.2,0.31,0.25
-67.8218,15.6115,110.6661,1.59,0.41,0,0.08,0.14,1.57
-110.1534,32.314,134.165,0.34,0.21,0.03,0.17,0.05,2.21
0.0198,0.0198,0.0381,0.03,0.56,2.29,0.04,0.1,0.13
0.0198,0.0198,0.0381,0,0.03,1.13,1.6,0.93,0.06
0.0198,0.0198,0.0381,0.43,0,0.05,1.9,0.96,0.09
0.0198,0.0198,0.0381,1.16,0.06,0,1.48,1.06,0.05
0.0198,0.0198,0.0381,0.09,0.91,0.34,0.14,0.01,1.93
0.0198,0.0198,0.0381,0.13,0.16,1.29,0.19,0.01,1.73
0.0198,0.0198,0.0381,0.04,0.03,1.35,1.53,0.88,0.16
0.0198,0.0198,0.0381,1.15,0,0.08,0.88,1.75,0.08
0.0198,0.0198,0.0381,1.57,0.05,0.01,0.12,1.46,0.13
0.0198,0.0198,0.0381,0.83,1.86,0.25,0.04,0.47,0.08
0.0198,0.0198,0.0381,0.05,1.33,1.72,0.14,0,0.4
0.0198,0.0198,0.0381,0.21,0.25,1.5,0.1,0.01,1.63
0.0198,0.0198,0.0381,0.14,0.16,0.82,1.58,0,1.19
0.0198,0.0198,0.0381,0.92,0.03,0.05,1.49,1.45,0.22
0.0198,0.0198,0.0381,0.47,0.85,0,0.14,2.02,0.12
0.0198,0.0198,0.0381,0.88,1.13,0.05,0.03,1.67,0.22
-72.2652,17.1588,129.4347,0.53,2.01,0.32,0.1,0.05,0.3
0.0198,0.0198,0.0381,0.04,1.26,1.82,0.28,0.13,0.39
0.0198,0.0198,0.0381,0.19,0.04,2.2,0.89,0.03,0.3
0.0198,0.0198,0.0381,0.09,0.22,0.89,1.82,0.01,0.83
0.0198,0.0198,0.0381,1.33,0.14,0.22,1.59,0,0.74
0.0198,0.0198,0.0381,1.38,0.38,0.03,0.09,1.8,0.26
0.0198,0.0198,0.0381,0.18,0.31,0.52,0.13,2.23,0.16
0.0198,0.0198,0.0381,0.04,1.26,0.67,0.06,1.72,0.26
0.0198,0.0198,0.0381,0.1,1,1.94,0.35,0.09,0.7
-83.9292,83.9292,141.5656,0.28,0.03,1.86,1.1,0.14,0.69
0.0198,0.0198,0.0381,0.26,0.14,0.36,2.15,0.4,0.34
-81.4694,14.7387,139.8108,1.73,0.06,0.28,1.31,0.21,0.31
0.0198,0.0198,0.0381,1.97,0.91,0.16,0.27,0.18,0.35
0.0198,0.0198,0.0381,0.53,1.14,0.18,0.03,1.86,0.32
0.0198,0.0198,0.0381,0.66,0.43,0.47,0.08,2.14,0.17
0.0198,0.0198,0.0381,0.06,0.72,1.49,0.3,1.73,0.28
0.0198,0.0198,0.0381,0.43,0.08,1.77,1.23,0.09,0.67
0.0198,0.0198,0.0381,0.6,0.31,0.01,1.9,0.13,0.82
0.0198,0.0198,0.0381,1.75,0.19,0.17,0.97,0.78,0.39
0.0198,0.0198,0.0381,0.27,1.93,0.65,0.19,0.56,0.31
0.0198,0.0198,0.0381,0.01,1.19,0.53,0.14,1.72,0.3
0.0198,0.0198,0.0381,0.54,0.27,0.06,2.02,0.05,0.61
0.0198,0.0198,0.0381,1.84,0.23,0.26,0.71,0.08,1.05
0.0198,0.0198,0.0381,0.14,0.19,1.93,0.36,1.24,0.26
0.0198,0.0198,0.0381,0.22,0.01,2.12,0.23,0.89,0.08
-63.18,17.5555,127.985,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-88.452,79.2874,145.6855,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-52.9442,41.0422,117.6852,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.08,0,0,0,0,0
0.0198,0.0198,0.0381,0.41,0.19,0.84,1.92,0.7,0.4
0.0198,0.0198,0.0381,1.11,0.48,0.21,1.55,0.09,1.02
0.0198,0.0198,0.0381,0.31,1.45,0.27,0.16,1.54,0.44
0.0198,0.0198,0.0381,0.31,0.34,1.88,0.03,1.23,0.3
0.0198,0.0198,0.0381,0.1,0.21,1.33,0.13,1.84,0.43
0.0198,0.0198,0.0381,0.19,0.98,1.85,0.44,0.84,0.16
-87.5395,79.089,143.0152,0.4,0.05,2.04,0.87,0.79,0.12
0.0198,0.0198,0.0381,0.61,0.22,0.05,1.7,1.2,0.35
-74.1299,14.3816,136.6064,2.07,0.13,0.39,0.1,0.03,0.67
-94.2046,40.7248,135.6909,1.24,1.55,0.25,0.28,0.03,0.54
0.0198,0.0198,0.0381,0.14,1.04,0.87,0.08,1.84,0.36
0.0198,0.0198,0.0381,0.06,0.05,0.56,0.44,2.17,0.31
-75.2407,77.6608,133.0205,0.32,0.06,1.93,0.92,0.79,0.19
0.0198,0.0198,0.0381,0.3,0.23,0.47,2.07,0.38,0.1
